Drug_ID,Drug_Name,Drug_Generic_Name,Drug_Manufacture_Name,Drug_Form,Drug_Strength
40,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,USA,INJECTABLE;INJECTION,37.5MG/ML
41,SYNKAYVITE,MENADIOL SODIUM DIPHOSPHATE,USA,TABLET;ORAL,5MG
42,THEELIN,ESTRONE,USA,INJECTABLE;INJECTION,1MG/ML
43,THEELIN,ESTRONE,USA,INJECTABLE;INJECTION,2MG/ML
44,THEELIN,ESTRONE,USA,INJECTABLE;INJECTION,5MG/ML
45,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",0.1MG
46,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",0.5MG
47,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",1MG
48,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",0.25MG
49,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",5MG
50,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,SUPPOSITORY;VAGINAL,0.1MG
51,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,SUPPOSITORY;VAGINAL,0.5MG
52,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,TABLET;ORAL,0.1MG
53,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,TABLET;ORAL,0.5MG
54,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,TABLET;ORAL,1MG
55,DIETHYLSTILBESTROL,DIETHYLSTILBESTROL,USA,TABLET;ORAL,5MG
56,SULFADIAZINE,SULFADIAZINE,USA,TABLET;ORAL,500MG
57,SULFADIAZINE SODIUM,SULFADIAZINE SODIUM,USA,INJECTABLE;INJECTION,250MG/ML
58,STILBESTROL,DIETHYLSTILBESTROL,USA,SUPPOSITORY;VAGINAL,0.1MG
59,STILBESTROL,DIETHYLSTILBESTROL,USA,SUPPOSITORY;VAGINAL,0.5MG
60,STILBESTROL,DIETHYLSTILBESTROL,USA,INJECTABLE;INJECTION,0.2MG/ML
61,STILBESTROL,DIETHYLSTILBESTROL,USA,INJECTABLE;INJECTION,0.5MG/ML
62,STILBESTROL,DIETHYLSTILBESTROL,USA,INJECTABLE;INJECTION,1MG/ML
63,STILBESTROL,DIETHYLSTILBESTROL,USA,INJECTABLE;INJECTION,5MG/ML
64,STILBETIN,DIETHYLSTILBESTROL,USA,TABLET;ORAL,0.1MG
65,STILBETIN,DIETHYLSTILBESTROL,USA,TABLET;ORAL,0.5MG
66,STILBETIN,DIETHYLSTILBESTROL,USA,TABLET;ORAL,1MG
67,STILBETIN,DIETHYLSTILBESTROL,USA,TABLET;ORAL,5MG
68,STILBETIN,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",0.1MG
69,STILBETIN,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",0.5MG
70,STILBETIN,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",1MG
71,STILBETIN,DIETHYLSTILBESTROL,USA,"TABLET, DELAYED RELEASE;ORAL",5MG
72,STILBETIN,DIETHYLSTILBESTROL,USA,TABLET;ORAL,0.25MG
73,SULFADIAZINE,SULFADIAZINE,USA,TABLET;ORAL,500MG
74,SULFADIAZINE,SULFADIAZINE,USA,TABLET;ORAL,300MG
75,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
76,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"5,000 UNITS/ML"
77,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
78,ALCOHOL 5% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,USA,INJECTABLE;INJECTION,5ML/100ML;5GM/100ML
79,ALCOHOL 10% AND DEXTROSE 5%,ALCOHOL; DEXTROSE,USA,INJECTABLE;INJECTION,10ML/100ML;5GM/100ML
80,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,1.25MG
81,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,2.5MG
82,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,0.3MG
83,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,0.625MG
84,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,0.9MG
85,PREMARIN,"ESTROGENS, CONJUGATED",USA,TABLET;ORAL,0.45MG
86,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,TABLET;ORAL,50MG
87,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,50MG/ML
88,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,100MG/ML
89,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,TABLET;ORAL,100MG
90,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,SYRUP;ORAL,50MG/5ML 
91,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,25MG/ML
92,DEMEROL,MEPERIDINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,75MG/ML
93,PERCORTEN,DESOXYCORTICOSTERONE ACETATE,USA,PELLET;IMPLANTATION,125MG
94,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,USA,TABLET;ORAL,1.5MG;5MG
95,HYCODAN,HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE,USA,SYRUP;ORAL,1.5MG/5ML;5MG/5ML
96,PANHEPRIN,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
97,PANHEPRIN,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"5,000 UNITS/ML"
98,PANHEPRIN,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
99,PANHEPRIN,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"20,000 UNITS/ML"
100,PANHEPRIN,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"40,000 UNITS/ML"
101,HEPARIN LOCK FLUSH,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,100 UNITS/ML
102,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"2,000 UNITS/ML"
103,HEPARIN SODIUM PRESERVATIVE FREE,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"2,500 UNITS/ML"
104,ESTINYL,ETHINYL ESTRADIOL,USA,TABLET;ORAL,0.02MG
105,ESTINYL,ETHINYL ESTRADIOL,USA,TABLET;ORAL,0.05MG
106,ESTINYL,ETHINYL ESTRADIOL,USA,TABLET;ORAL,0.5MG
107,PANTOPAQUE,IOPHENDYLATE,USA,INJECTABLE;INJECTION,100%
108,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,USA,TABLET;ORAL,5MG
109,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,USA,"TABLET, EXTENDED RELEASE;ORAL",10MG
110,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,USA,"TABLET, EXTENDED RELEASE;ORAL",5MG
111,DESOXYN,METHAMPHETAMINE HYDROCHLORIDE,USA,"TABLET, EXTENDED RELEASE;ORAL",15MG
112,LYNORAL,ETHINYL ESTRADIOL,USA,TABLET;ORAL,0.05MG
113,LYNORAL,ETHINYL ESTRADIOL,USA,TABLET;ORAL,0.01MG
114,DICUMAROL,DICUMAROL,USA,CAPSULE;ORAL,50MG
115,DICUMAROL,DICUMAROL,USA,CAPSULE;ORAL,25MG
116,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"1,000 UNITS/ML"
117,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"10,000 UNITS/ML"
118,HEPARIN SODIUM,HEPARIN SODIUM,USA,INJECTABLE;INJECTION,"20,000 UNITS/ML"
119,DICUMAROL,DICUMAROL,USA,TABLET;ORAL,25MG
120,DICUMAROL,DICUMAROL,USA,TABLET;ORAL,50MG
121,DICUMAROL,DICUMAROL,USA,TABLET;ORAL,100MG
122,AMINOHIPPURATE SODIUM,AMINOHIPPURATE SODIUM,USA,INJECTABLE;INJECTION,20%
123,MANNITOL 25%,MANNITOL,USA,INJECTABLE;INJECTION,12.5GM/50ML
124,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,USA,INJECTABLE;INJECTION,3MG/ML
125,VERTAVIS,VERATRUM VIRIDE ROOT,USA,TABLET;ORAL,130CSR UNIT
126,KAPPADIONE,MENADIOL SODIUM DIPHOSPHATE,USA,INJECTABLE;INJECTION,10MG/ML
127,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),USA,CREAM;VAGINAL,3.7%;2.86%;3.42%
128,SULTRIN,TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE),USA,TABLET;VAGINAL,184MG;143.75MG;172.5MG
129,FURACIN,NITROFURAZONE,USA,OINTMENT;TOPICAL,0.20%
130,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,USA,CAPSULE;ORAL,50MG
131,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,USA,ELIXIR;ORAL,12.5MG/5ML
132,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,USA,CAPSULE;ORAL,25MG
133,TRIDIONE,TRIMETHADIONE,USA,SOLUTION;ORAL,200MG/5ML
134,TRIDIONE,TRIMETHADIONE,USA,CAPSULE;ORAL,300MG
135,TRIDIONE,TRIMETHADIONE,USA,TABLET;ORAL,150MG
136,FOLVITE,FOLIC ACID,USA,TABLET;ORAL,1MG
137,FOLVITE,FOLIC ACID,USA,INJECTABLE;INJECTION,5MG/ML
138,PBZ,TRIPELENNAMINE HYDROCHLORIDE,USA,TABLET;ORAL,50MG
139,PBZ,TRIPELENNAMINE CITRATE,USA,ELIXIR;ORAL,EQ 25MG HYDROCHLORIDE/5ML
140,D.H.E. 45,DIHYDROERGOTAMINE MESYLATE,USA,INJECTABLE;INJECTION,1MG/ML
141,AMINOSOL 5%,PROTEIN HYDROLYSATE,USA,INJECTABLE;INJECTION,5%
142,BAL,DIMERCAPROL,USA,INJECTABLE;INJECTION,10%
143,SODIUM SULAMYD,SULFACETAMIDE SODIUM,USA,SOLUTION/DROPS;OPHTHALMIC,10%
144,SODIUM SULAMYD,SULFACETAMIDE SODIUM,USA,OINTMENT;OPHTHALMIC,10%
145,SODIUM SULAMYD,SULFACETAMIDE SODIUM,USA,SOLUTION/DROPS;OPHTHALMIC,30%
146,SOTRADECOL,SODIUM TETRADECYL SULFATE,USA,INJECTABLE;INJECTION,1%
147,SOTRADECOL,SODIUM TETRADECYL SULFATE,USA,INJECTABLE;INJECTION,3%
148,ARALEN,CHLOROQUINE PHOSPHATE,USA,TABLET;ORAL,500MG
149,ARALEN HYDROCHLORIDE,CHLOROQUINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,EQ 40MG BASE/ML
150,MESANTOIN,MEPHENYTOIN,USA,TABLET;ORAL,100MG
151,FOLVRON,FERROUS SULFATE; FOLIC ACID,USA,CAPSULE;ORAL,182MG;0.33MG
152,METHERGINE,METHYLERGONOVINE MALEATE,USA,TABLET;ORAL,0.2MG
153,METHERGINE,METHYLERGONOVINE MALEATE,USA,INJECTABLE;INJECTION,0.2MG/ML
154,DIASONE SODIUM,SULFOXONE SODIUM,USA,"TABLET, DELAYED RELEASE;ORAL",165MG
155,BEROCCA PN,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E,USA,INJECTABLE;INJECTION,"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML"
156,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,USA,INJECTABLE;INJECTION,3MG/ML
157,DIENESTROL,DIENESTROL,USA,CREAM;VAGINAL,0.01%
158,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,TABLET;ORAL,5MG
159,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,SYRUP;ORAL,10MG/30ML
160,DOLOPHINE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,TABLET;ORAL,10MG
161,FOLIC ACID,FOLIC ACID,USA,TABLET;ORAL,1MG
162,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,10MG/ML
163,BENADRYL,DIPHENHYDRAMINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,50MG/ML
164,HYPROTIGEN 5%,PROTEIN HYDROLYSATE,USA,INJECTABLE;INJECTION,5%
165,PROPYLTHIOURACIL,PROPYLTHIOURACIL,USA,TABLET;ORAL,50MG
166,HEAVY SOLUTION NUPERCAINE,DIBUCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,2.5MG/ML
167,PROPYLTHIOURACIL,PROPYLTHIOURACIL,USA,TABLET;ORAL,50MG
168,GAMOPHEN,HEXACHLOROPHENE,USA,SOAP;TOPICAL,2%
169,KWELL,LINDANE,USA,CREAM;TOPICAL,1%
170,KWELL,LINDANE,USA,LOTION;TOPICAL,1%
171,SULFONAMIDES DUPLEX,SULFADIAZINE; SULFAMERAZINE,USA,SUSPENSION;ORAL,250MG/5ML;250MG/5ML
172,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,TABLET;ORAL,167MG;167MG;167MG
173,NEOTRIZINE,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,SUSPENSION;ORAL,167MG/5ML;167MG/5ML;167MG/5ML
174,TUBOCURARINE CHLORIDE,TUBOCURARINE CHLORIDE,USA,INJECTABLE;INJECTION,3MG/ML
175,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,USA,SOLUTION;INHALATION,0.50%
176,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,USA,SOLUTION;INHALATION,1%
177,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,USA,"TABLET;RECTAL, SUBLINGUAL",10MG
178,ISUPREL,ISOPROTERENOL HYDROCHLORIDE,USA,"TABLET;RECTAL, SUBLINGUAL",15MG
179,SYNOPHYLATE,THEOPHYLLINE SODIUM GLYCINATE,USA,ELIXIR;ORAL,EQ 165MG BASE/15ML
180,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,POWDER;FOR RX COMPOUNDING,50GM/BOT
181,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,POWDER;FOR RX COMPOUNDING,100GM/BOT
182,METHADONE HYDROCHLORIDE,METHADONE HYDROCHLORIDE,USA,POWDER;FOR RX COMPOUNDING,500GM/BOT
183,PRISCOLINE,TOLAZOLINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,25MG/ML
184,DECAPRYN,DOXYLAMINE SUCCINATE,USA,TABLET;ORAL,25MG
185,DECAPRYN,DOXYLAMINE SUCCINATE,USA,TABLET;ORAL,12.5MG
186,CAMOQUIN HYDROCHLORIDE,AMODIAQUINE HYDROCHLORIDE,USA,TABLET;ORAL,EQ 200MG BASE
187,HETRAZAN,DIETHYLCARBAMAZINE CITRATE,USA,TABLET;ORAL,50MG
188,PROTAMINE SULFATE,PROTAMINE SULFATE,USA,INJECTABLE;INJECTION,10MG/ML
189,CALCIUM GLUCEPTATE,CALCIUM GLUCEPTATE,USA,INJECTABLE;INJECTION,EQ 90MG CALCIUM/5ML
190,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,2%
191,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.01MG/ML;2%
192,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.01MG/ML;1%
193,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.02MG/ML;2%
194,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,1%
195,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.50%
196,XYLOCAINE,LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,1.50%
197,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.005MG/ML;0.5%
198,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.005MG/ML;1.5%
199,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.005MG/ML;1%
200,XYLOCAINE W/ EPINEPHRINE,EPINEPHRINE; LIDOCAINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,0.005MG/ML;2%
201,BENYLIN,DIPHENHYDRAMINE HYDROCHLORIDE,USA,SYRUP;ORAL,12.5MG/5ML
202,GANTRISIN,SULFISOXAZOLE,USA,TABLET;ORAL,500MG
203,AVC,SULFANILAMIDE,USA,CREAM;VAGINAL,15%
204,AVC,SULFANILAMIDE,USA,SUPPOSITORY;VAGINAL,1.05GM
205,URECHOLINE,BETHANECHOL CHLORIDE,USA,INJECTABLE;INJECTION,5MG/ML
206,URECHOLINE,BETHANECHOL CHLORIDE,USA,TABLET;ORAL,10MG
207,URECHOLINE,BETHANECHOL CHLORIDE,USA,TABLET;ORAL,5MG
208,URECHOLINE,BETHANECHOL CHLORIDE,USA,TABLET;ORAL,25MG
209,URECHOLINE,BETHANECHOL CHLORIDE,USA,TABLET;ORAL,50MG
210,AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE,AMMONIUM CHLORIDE,USA,INJECTABLE;INJECTION,900MG/100ML
211,CAFERGOT,CAFFEINE; ERGOTAMINE TARTRATE,USA,TABLET;ORAL,100MG;1MG
212,METUBINE IODIDE,METOCURINE IODIDE,USA,INJECTABLE;INJECTION,2MG/ML
213,REDISOL,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
214,MUSTARGEN,MECHLORETHAMINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,10MG/VIAL
215,VASOXYL,METHOXAMINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,20MG/ML
216,VASOXYL,METHOXAMINE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,10MG/ML
217,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,USA,TABLET;ORAL,5MG
218,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,USA,TABLET;ORAL,2MG
219,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,USA,ELIXIR;ORAL,2MG/5ML
220,ARTANE,TRIHEXYPHENIDYL HYDROCHLORIDE,USA,"CAPSULE, EXTENDED RELEASE;ORAL",5MG
221,BERUBIGEN,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
222,RUBRAMIN PC,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,0.1MG/ML
223,RUBRAMIN PC,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
224,RUBRAMIN PC,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
225,PARADIONE,PARAMETHADIONE,USA,CAPSULE;ORAL,300MG
226,PARADIONE,PARAMETHADIONE,USA,SOLUTION;ORAL,300MG/ML
227,PARADIONE,PARAMETHADIONE,USA,CAPSULE;ORAL,150MG
228,PARASAL,AMINOSALICYLIC ACID,USA,TABLET;ORAL,500MG
229,PARASAL,AMINOSALICYLIC ACID,USA,TABLET;ORAL,1GM
230,PARASAL SODIUM,AMINOSALICYLATE SODIUM,USA,TABLET;ORAL,500MG
231,PARASAL SODIUM,AMINOSALICYLATE SODIUM,USA,TABLET;ORAL,1GM
232,AQUASOL A,VITAMIN A PALMITATE,USA,INJECTABLE;INJECTION,"EQ 50,000 UNITS BASE/ML"
233,PHISOHEX,HEXACHLOROPHENE,USA,EMULSION;TOPICAL,3%
234,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,TABLET;ORAL,167MG;167MG;167MG
235,TERFONYL,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,SUSPENSION;ORAL,167MG/5ML;167MG/5ML;167MG/5ML
236,NORISODRINE,ISOPROTERENOL SULFATE,USA,POWDER;INHALATION,25%
237,NORISODRINE,ISOPROTERENOL SULFATE,USA,POWDER;INHALATION,10%
238,GANTRISIN,SULFISOXAZOLE DIOLAMINE,USA,INJECTABLE;INJECTION,EQ 400MG BASE/ML
239,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,TABLET;ORAL,167MG;167MG;167MG
240,TRIPLE SULFAS,TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE),USA,SUSPENSION;ORAL,167MG/5ML;167MG/5ML;167MG/5ML
241,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,USA,TABLET;ORAL,4MG
242,CHLOR-TRIMETON,CHLORPHENIRAMINE MALEATE,USA,SYRUP;ORAL,2MG/5ML
243,EURAX,CROTAMITON,USA,CREAM;TOPICAL,10%
244,SYNCURINE,DECAMETHONIUM BROMIDE,USA,INJECTABLE;INJECTION,1MG/ML
245,VI-TWEL,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
246,AZULFIDINE,SULFASALAZINE,USA,TABLET;ORAL,500MG
247,AZULFIDINE EN-TABS,SULFASALAZINE,USA,"TABLET, DELAYED RELEASE;ORAL",500MG
248,CYANOCOBALAMIN,CYANOCOBALAMIN,USA,INJECTABLE;INJECTION,1MG/ML
249,CORTONE,CORTISONE ACETATE,USA,INJECTABLE;INJECTION,25MG/ML
250,CORTONE,CORTISONE ACETATE,USA,INJECTABLE;INJECTION,50MG/ML
251,AEROLONE,ISOPROTERENOL HYDROCHLORIDE,USA,SOLUTION;INHALATION,0.25%
252,TEEBACIN,AMINOSALICYLATE SODIUM,USA,TABLET;ORAL,500MG
253,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE,USA,CAPSULE;ORAL,250MG
254,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE,USA,INJECTABLE;INJECTION,100MG/ML
255,PRONESTYL,PROCAINAMIDE HYDROCHLORIDE,USA,CAPSULE;ORAL,500MG
